SYMBOL	Case_cnt	Control_cnt	diff
AC079354.1	1	2	-1
C3orf79	1	2	-1
FBP2	1	2	-1
HYKK	1	2	-1
UBQLNL	1	2	-1
IPP	1	2	-1
MST1L	1	2	-1
GPR123	1	2	-1
ODF1	1	2	-1
SERPINB3	1	2	-1
FAM209A	1	2	-1
AASDH	1	2	-1
GGT3P	14	16	-2
THNSL1	1	3	-2
AGAP6	35	37	-2
SDHAP1	6	8	-2
OR52J3	25	27	-2
CWH43	2	4	-2
EFCAB5	5	7	-2
MYCT1	3	5	-2
CARD6	5	7	-2
SERPINB4	1	3	-2
CEP170	11	13	-2
VIT	2	4	-2
OR5M11	8	10	-2
OR5M10	8	10	-2
OR8I2	9	11	-2
SLC9A8	1	3	-2
OR2V2	10	12	-2
ZNF860	1	3	-2
SIGLEC1	1	3	-2
IGHV4-28	15	17	-2
KRT31	3	5	-2
C1orf185	1	3	-2
FAM194A	1	3	-2
TSPO2	3	5	-2
RABEPK	1	3	-2
IGHV1-2	3	5	-2
TBC1D29	3	5	-2
PRPS1L1	5	7	-2
UNC13D	1	3	-2
LILRA2	2	4	-2
FAM83A	1	3	-2
CCDC125	6	8	-2
PLEKHH1	1	3	-2
OR7G3	5	7	-2
SYNE1	1	3	-2
DPPA4	2	4	-2
ZNF595	3	5	-2
IGFLR1	1	3	-2
ZBP1	1	3	-2
HPSE	2	4	-2
OR1J1	2	4	-2
FAM153C	1	3	-2
IGHV4-4	1	3	-2
ZIM3	1	3	-2
PTTG2	1	3	-2
ZNF594	1	3	-2
ADAM2	1	3	-2
PLAUR	1	3	-2
LTK	1	3	-2
TMEM225	2	4	-2
RP11-113D6.6	1	3	-2
FRMPD2	1	3	-2
SLC35F5	1	3	-2
INO80E	1	3	-2
FAM71A	1	3	-2
BAGE2	43	46	-3
OR10X1	55	58	-3
DDIT4L	13	16	-3
DBI	23	26	-3
C10ORF68	11	14	-3
OR4X2	13	16	-3
MST1P2	32	35	-3
PRB4	25	28	-3
IGKV3D-11	4	7	-3
ABCC12	3	6	-3
LPAL2	19	22	-3
IDO2	22	25	-3
ANKMY1	20	23	-3
ZNF101	4	7	-3
CLEC7A	9	12	-3
PRODH	8	11	-3
RNF32	7	10	-3
TMC3	3	6	-3
AMY1C	8	11	-3
ZNF599	2	5	-3
ZNF28	1	4	-3
FCGR2A	18	21	-3
BEST3	4	7	-3
ALOX15P2	5	8	-3
ANKRD20A5P	8	11	-3
FCN3	6	9	-3
COQ2	1	4	-3
RIPK3	1	4	-3
BTN3A3	1	4	-3
ZNF486	1	4	-3
OR51I1	2	5	-3
SPHK1	1	4	-3
P2RX7	1	4	-3
MAMDC4	1	4	-3
RP9	1	4	-3
C12orf60	21	25	-4
FAM86FP	70	74	-4
OR52E8	45	49	-4
OR2D3	3	7	-4
FUT2	46	50	-4
UNC93A	16	20	-4
SLC6A18	40	44	-4
TMPRSS4	40	44	-4
RP11-683L23.1	21	25	-4
STARD6	4	8	-4
FLG2	22	26	-4
OR51B5	5	9	-4
NOMO3	7	11	-4
NOMO2	6	10	-4
LGALS8	7	11	-4
L1TD1	1	5	-4
FAM86HP	7	11	-4
NBPF10	3	7	-4
GRP	9	13	-4
NDUFV3	6	10	-4
SLC22A14	4	8	-4
DNAH14	10	14	-4
IGHV3-43	2	6	-4
KIAA1407	2	6	-4
MADD	7	11	-4
ATP13A5	2	6	-4
AGAP9	1	5	-4
DCHS2	1	5	-4
ALK	1	5	-4
ASCL3	1	5	-4
LIMS1	1	5	-4
USP54	1	5	-4
OR4D6	1	5	-4
KRTAP13-2	52	57	-5
ZNF681	27	32	-5
SARM1	70	75	-5
PKHD1L1	4	9	-5
GUCA1C	34	39	-5
OR52N4	32	37	-5
RP11-274M4.1	24	29	-5
HTR3E	24	29	-5
PSG7	23	28	-5
RBAK-RBAKDN	8	13	-5
SLC3A1	13	18	-5
LAIR2	14	19	-5
TRBV11-1	12	17	-5
GJB4	5	10	-5
NLRP13	1	6	-5
IFIH1	7	12	-5
PUS10	1	6	-5
KAT2A	1	6	-5
FMO2	11	17	-6
OR5AC2	28	34	-6
OR51F1	47	53	-6
TBC1D3P5	54	60	-6
PSG8	8	14	-6
OR13C5	19	25	-6
DYX1C1	8	14	-6
CCR5	7	13	-6
OR5H15	3	9	-6
OR6Q1	29	35	-6
HYAL4	6	12	-6
PDE6B	4	10	-6
OR5B3	4	10	-6
LPL	21	27	-6
DCAKD	2	8	-6
ZDHHC11B	3	9	-6
ANKRD20A1	1	7	-6
FAM111B	3	9	-6
PIWIL3	1	7	-6
MTMR6	11	18	-7
NOTCH2NL	58	65	-7
MOB3C	56	63	-7
FAM166A	70	77	-7
MAP2K3	70	77	-7
SLFN13	11	18	-7
CES5A	16	23	-7
IFNA10	27	34	-7
NCAPH2	11	18	-7
OR13C2	19	26	-7
ACOT4	18	25	-7
ALDH1B1	2	9	-7
ADCY2	1	8	-7
OR10J1	16	23	-7
MUC7	11	18	-7
LILRA1	1	8	-7
ZNF77	3	10	-7
DNAJC28	30	38	-8
DHRS4L2	9	17	-8
C2orf83	36	44	-8
ENDOV	2	10	-8
ZNF80	29	37	-8
RFPL1	19	27	-8
GPRIN1	32	40	-8
C10orf113	27	35	-8
SLC5A9	14	22	-8
MOK	15	23	-8
XRCC4	11	19	-8
AC009892.5	4	12	-8
TPTE	52	61	-9
PRUNEP1	69	78	-9
TCTEX1D1	20	29	-9
RBBP6	66	75	-9
TEX26	39	48	-9
RP11-415I12.2	58	67	-9
TYW1B	24	33	-9
AKR1E2	15	24	-9
PARP4P2	52	62	-10
OR1S1	35	45	-10
ZNF586	39	49	-10
CTU2	68	78	-10
TMPRSS11A	31	41	-10
CNN2	6	16	-10
WASH7P	3	13	-10
TLR5	1	11	-10
