SYMBOL	s
RORA	1
RORC	1
ROS1	1
RP1-152L7.1	1
RP1-167G20.1	1
RP1-32I10.10	1
RP11-112L6.4	1
RP11-150O12.1	1
RP11-184D12.1	1
RP11-23E10.2	1
RP11-261C10.3	1
RP11-279F6.3	1
RP11-293B20.2	1
RP11-392E22.12	1
RP11-39H3.1	1
RP11-420A23.1	1
RP11-423O2.7	1
RP11-433J20.2	1
RP11-467N20.5	1
RP11-520B13.4	1
RP11-574O7.1	1
RP11-656G20.1	1
RP11-690G19.4	1
RP11-738O11.9	1
RP11-764K9.1	1
RP11-782C8.2	1
RP11-782C8.3	1
RP11-807H22.6	1
RP11-998D10.5	1
RP13-653N12.2	1
RP3-369A17.4	1
RP4-598G3.1	1
RP4-668G5.1	1
RP4-794H19.1	1
RP5-837I24.2	1
RPGRIP1L	1
RPL19	1
RPL23A	1
RPL36	1
RPS26P55	1
RPS8	1
RPSA	1
RPSAP58	1
